Path,Objective sense,Problem,Format,Dataset,Best known solution value,Best known bound,TSMA,Certificate path
hifi2006/I1 - I10/1I1,max,knapsackwithconflicts,hifi2006,hifi2006,2567,,,
hifi2006/I1 - I10/1I2,max,knapsackwithconflicts,hifi2006,hifi2006,2594,,,
hifi2006/I1 - I10/1I3,max,knapsackwithconflicts,hifi2006,hifi2006,2320,,,
hifi2006/I1 - I10/1I4,max,knapsackwithconflicts,hifi2006,hifi2006,2310,,,
hifi2006/I1 - I10/1I5,max,knapsackwithconflicts,hifi2006,hifi2006,2330,,,
hifi2006/I1 - I10/2I1,max,knapsackwithconflicts,hifi2006,hifi2006,2118,,,
hifi2006/I1 - I10/2I2,max,knapsackwithconflicts,hifi2006,hifi2006,2118,,,
hifi2006/I1 - I10/2I3,max,knapsackwithconflicts,hifi2006,hifi2006,2132,,,
hifi2006/I1 - I10/2I4,max,knapsackwithconflicts,hifi2006,hifi2006,2109,,,
hifi2006/I1 - I10/2I5,max,knapsackwithconflicts,hifi2006,hifi2006,2114,,,
hifi2006/I1 - I10/3I1,max,knapsackwithconflicts,hifi2006,hifi2006,1845,,,certificates/hifi2006/hifi2006/I1 - I10/3I1_solution.txt
hifi2006/I1 - I10/3I2,max,knapsackwithconflicts,hifi2006,hifi2006,1795,,,
hifi2006/I1 - I10/3I3,max,knapsackwithconflicts,hifi2006,hifi2006,1774,,,certificates/hifi2006/hifi2006/I1 - I10/3I3_solution.txt
hifi2006/I1 - I10/3I4,max,knapsackwithconflicts,hifi2006,hifi2006,1792,,,
hifi2006/I1 - I10/3I5,max,knapsackwithconflicts,hifi2006,hifi2006,1794,,,
hifi2006/I1 - I10/4I1,max,knapsackwithconflicts,hifi2006,hifi2006,1330,,,certificates/hifi2006/hifi2006/I1 - I10/4I1_solution.txt
hifi2006/I1 - I10/4I2,max,knapsackwithconflicts,hifi2006,hifi2006,1378,,,certificates/hifi2006/hifi2006/I1 - I10/4I2_solution.txt
hifi2006/I1 - I10/4I3,max,knapsackwithconflicts,hifi2006,hifi2006,1374,,,certificates/hifi2006/hifi2006/I1 - I10/4I3_solution.txt
hifi2006/I1 - I10/4I4,max,knapsackwithconflicts,hifi2006,hifi2006,1353,,,certificates/hifi2006/hifi2006/I1 - I10/4I4_solution.txt
hifi2006/I1 - I10/4I5,max,knapsackwithconflicts,hifi2006,hifi2006,1354,,,
hifi2006/I1 - I10/5I1,max,knapsackwithconflicts,hifi2006,hifi2006,2700,,,
hifi2006/I1 - I10/5I2,max,knapsackwithconflicts,hifi2006,hifi2006,2700,,,
hifi2006/I1 - I10/5I3,max,knapsackwithconflicts,hifi2006,hifi2006,2690,,,
hifi2006/I1 - I10/5I4,max,knapsackwithconflicts,hifi2006,hifi2006,2700,,,
hifi2006/I1 - I10/5I5,max,knapsackwithconflicts,hifi2006,hifi2006,2689,,,
hifi2006/I1 - I10/6I1,max,knapsackwithconflicts,hifi2006,hifi2006,2850,,,
hifi2006/I1 - I10/6I2,max,knapsackwithconflicts,hifi2006,hifi2006,2830,,,
hifi2006/I1 - I10/6I3,max,knapsackwithconflicts,hifi2006,hifi2006,2830,,,
hifi2006/I1 - I10/6I4,max,knapsackwithconflicts,hifi2006,hifi2006,2830,,,
hifi2006/I1 - I10/6I5,max,knapsackwithconflicts,hifi2006,hifi2006,2840,,,
hifi2006/I1 - I10/7I1,max,knapsackwithconflicts,hifi2006,hifi2006,2780,,,
hifi2006/I1 - I10/7I2,max,knapsackwithconflicts,hifi2006,hifi2006,2780,,,
hifi2006/I1 - I10/7I3,max,knapsackwithconflicts,hifi2006,hifi2006,2770,,,
hifi2006/I1 - I10/7I4,max,knapsackwithconflicts,hifi2006,hifi2006,2800,,,
